file,channel,mean,std,iqr,min,max,rms,skewness,kurtosis,moving_average,power_delta,power_theta,power_alpha,power_beta_low,power_beta_mid,power_ratio_index,delta_alpha_ratio,theta_alpha_ratio,theta_beta_ratio,theta_beta_alpha_ratio,engagement_index
UnicornRecorder_12_05_2025_12_24_420.csv,Fz (ch1),-0.9079249485660179,8.610077687215954,13.541635438108237,-20.195845245956093,17.947941743840417,8.657815284014937,-0.16304055467408649,-0.7082690202197046,-0.8036093869693397,0.36572994009043486,0.23562764133368236,0.33008096301375306,0.02002954039855027,0.0485319151635794,0.2077110262165377,1.1080007061031159,0.7138480183235067,3.436736274073981,0.5910751850629512,0.12119570930199602
UnicornRecorder_12_05_2025_12_24_420.csv,C3 (ch2),-0.9929587198125434,8.577607747122073,11.936320855211981,-25.370013329106346,17.311159649099938,8.634889789843317,-0.35769419805381003,-0.12168533893411526,2.0226420253808874,0.35689074549637345,0.17306989253059316,0.3834752707247487,0.028927403965822072,0.05763668728246275,0.22573578495604973,0.9306747337888781,0.45131956541421797,1.9993266264898537,0.3682029773083606,0.15553830481960254
UnicornRecorder_12_05_2025_12_24_420.csv,Cz (ch3),0.6988535883113425,11.784710855445699,20.013464064420308,-23.310941122897336,22.231709603918674,11.805414278387493,-0.3682662329205161,-1.0287053247701516,-6.225368279507023,0.6164058087105722,0.1909494761151721,0.13015871609280497,0.026704893694437487,0.035781105387013255,0.4800754106770488,4.735801237245351,1.4670510116204778,3.0558761790184183,0.9912001787458836,0.19459484559328677
UnicornRecorder_12_05_2025_12_24_420.csv,C4 (ch4),-0.9694064046492071,8.86802276562811,13.89950023511873,-16.8252629864064,23.262647080389293,8.920850662861325,0.45184222258346024,-0.5627132558793324,0.6824169927421281,0.27713499679792375,0.1606082031358365,0.4903298168307258,0.020273933102747298,0.051653050132766706,0.14669102462586933,0.5652011916982763,0.32755136975747595,2.2329339548406932,0.2856491964470953,0.11049743758892555
UnicornRecorder_12_05_2025_12_24_420.csv,Pz (ch5),-0.9470048716862575,13.607093927588176,15.007139035762158,-40.999661688480074,43.25300622806279,13.640008188458118,0.4177599886422273,0.7761787287519741,-0.42098654658737156,0.26045769077067565,0.14660836834508592,0.5279308438916527,0.021339316256030052,0.043663780736555975,0.12312805312418272,0.49335569949030944,0.2777037372250491,2.2554058979960208,0.2472591940452081,0.0963666689991809
UnicornRecorder_12_05_2025_12_24_420.csv,PO7 (ch6),-0.11378859564572236,9.992795937608136,12.8986334716359,-23.917477430629702,27.885652661243757,9.993443775554887,0.0820513359226996,-0.2292716659118459,0.21715880296021633,0.20117416150125783,0.13239309654417244,0.5972378407657267,0.02688559726951355,0.04230930391932942,0.1158581999762896,0.3368409497350833,0.22167566672337685,1.9133360156531243,0.19865935181377628,0.09483548140647652
UnicornRecorder_12_05_2025_12_24_420.csv,Oz (ch7),-0.3604187876652445,12.630441943493953,17.944692030320983,-33.71646359838326,36.03351546503812,12.635583302343955,0.06219759365553803,-0.15903794535981852,-3.2387632586982322,0.196144948910664,0.12510561148586294,0.6141268354176783,0.027292016308867507,0.03733058787692714,0.10522680407190428,0.3193883373900481,0.2037129860980207,1.9359419673985172,0.18431781182603985,0.08741851694481549
UnicornRecorder_12_05_2025_12_24_420.csv,PO8 (ch8),-0.7560544631831005,14.133647197934518,15.862234031191242,-41.301498692935596,50.76739147745008,14.153854650482366,0.3280659240404995,0.995589109470064,-0.022497677505431923,0.2328108093653387,0.13005119167248227,0.5700093331872214,0.02444282251483699,0.042685843260120766,0.11776766074970413,0.4084333287379196,0.228156249556999,1.9373421201080638,0.20411777650104052,0.09588980294012542
UnicornRecorder_12_05_2025_12_31_050.csv,Fz (ch1),0.31367781817131196,7.253221522052794,9.77002025516718,-16.603284857496952,15.554960658569463,7.2600011171887955,-0.1413927691957195,-0.5894407680820626,4.9132229320097185,0.300096697773524,0.25479792876535196,0.364627557241158,0.022503630425107106,0.057974185794858975,0.22071238067927906,0.8230225385160496,0.6987895558229388,3.1660641495157527,0.572444063714738,0.1299233209450479
UnicornRecorder_12_05_2025_12_31_050.csv,C3 (ch2),0.755148907723288,7.468431386144278,8.820768657534511,-15.0476683564289,26.13031325674151,7.506511656047742,0.7299363701816164,0.5684720757181085,3.279597466881131,0.322581823234836,0.18852026346328404,0.39393700051810465,0.02543319652864728,0.06952771625512803,0.24105608932109204,0.818866526400357,0.4785543455307392,1.985240642037025,0.385602511964248,0.1630349875537128
