0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.168,1.016,-0.073,0.000,0.000,0.000,1.000,1.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.160,1.055,-0.085,0.000,0.000,0.000,2.000,1.000,4.450,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.152,1.089,-0.080,0.000,0.000,0.000,3.000,1.000,6.254,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.146,1.123,-0.074,0.000,0.000,0.000,4.000,1.000,3.753,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.136,1.151,-0.065,-1.526,-1.495,-0.763,5.000,1.000,3.727,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.130,1.168,-0.062,-15.900,-9.766,-0.458,6.000,1.000,14.414,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.125,1.173,-0.062,-21.332,-11.169,0.397,7.000,1.000,0.025,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.119,1.172,-0.064,-24.200,-11.322,0.793,8.000,1.000,1.842,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.115,1.162,-0.062,-26.031,-11.017,0.824,9.000,1.000,3.091,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.113,1.149,-0.066,-26.978,-10.406,0.732,10.000,1.000,0.014,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.114,1.135,-0.065,-27.283,-9.796,0.641,11.000,1.000,1.737,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.115,1.123,-0.070,-27.283,-9.064,0.397,12.000,1.000,7.630,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.113,1.110,-0.076,-27.130,-8.423,0.092,13.000,1.000,2.486,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.112,1.090,-0.078,-26.550,-7.751,-0.488,14.000,1.000,8.758,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.111,1.065,-0.083,-25.757,-7.111,-1.068,15.000,1.000,3.073,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.110,1.033,-0.091,-24.628,-6.409,-1.831,16.000,1.000,0.021,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.109,0.999,-0.096,-22.949,-5.432,-2.563,17.000,1.000,1.895,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.109,0.969,-0.106,-20.996,-4.517,-3.571,18.000,1.000,11.284,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.106,0.932,-0.113,-18.707,-3.479,-4.578,19.000,1.000,3.097,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.108,0.905,-0.125,-16.083,-2.563,-5.493,20.000,1.000,0.015,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.112,0.885,-0.132,-13.153,-1.617,-6.409,21.000,1.000,1.863,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.115,0.873,-0.138,-9.918,-0.732,-7.233,22.000,1.000,8.746,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.119,0.874,-0.146,-6.805,0.244,-7.935,23.000,1.000,2.502,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.122,0.881,-0.151,-3.662,0.977,-8.331,24.000,1.000,8.738,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.126,0.897,-0.152,-0.793,1.862,-8.911,25.000,1.000,3.161,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.127,0.918,-0.152,1.740,2.625,-9.216,26.000,1.000,0.024,0.000
