# OpenSignals Text File Format. Version 1
# {"00:07:80:8C:07:08": {"position": 0, "device": "biosignalsplux", "device name": "00:07:80:8C:07:08", "device connection": "BTH00:07:80:8C:07:08", "sampling rate": 500, "resolution": [16], "firmware version": 779, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2025-4-30", "time": "16:32:19.856", "channels": [1], "sensor": ["EDA"], "label": ["CH1"], "column": ["nSeq", "DI", "CH1"], "special": [{"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}], "digital IO": [0, 1], "sleeve color": ["orange"], "convertedValues": 1}}
# EndOfHeader
0.0	0.0	11.9354	
1.0	0.0	11.9583	
2.0	0.0	11.9759	
3.0	0.0	11.9843	
4.0	0.0	11.9843	
5.0	0.0	11.9843	
6.0	0.0	11.9751	
7.0	0.0	11.9637	
8.0	0.0	11.9339	
9.0	0.0	11.9263	
10.0	0.0	11.9331	
11.0	0.0	11.9522	
12.0	0.0	11.9736	
13.0	0.0	11.9812	
14.0	0.0	11.9873	
15.0	0.0	11.9827	
16.0	0.0	11.9736	
17.0	0.0	11.9568	
18.0	0.0	11.9308	
19.0	0.0	11.9232	
20.0	0.0	11.9308	
21.0	0.0	11.9484	
22.0	0.0	11.969	
23.0	0.0	11.9797	
24.0	0.0	11.9843	
25.0	0.0	11.9797	
26.0	0.0	11.969	
27.0	0.0	11.9537	
28.0	0.0	11.9278	
29.0	0.0	11.9171	
30.0	0.0	11.9278	
31.0	0.0	11.9431	
32.0	0.0	11.9659	
33.0	0.0	11.9766	
34.0	0.0	11.9766	
35.0	0.0	11.9751	
36.0	0.0	11.9659	
37.0	0.0	11.9476	
38.0	0.0	11.9263	
39.0	0.0	11.9171	
40.0	0.0	11.9232	
41.0	0.0	11.9431	
42.0	0.0	11.9629	
43.0	0.0	11.9736	
44.0	0.0	11.969	
45.0	0.0	11.9659	
46.0	0.0	11.9614	
47.0	0.0	11.9446	
48.0	0.0	11.9247	
49.0	0.0	11.9156	
50.0	0.0	11.9186	
51.0	0.0	11.9354	
52.0	0.0	11.9598	
53.0	0.0	11.969	
54.0	0.0	11.9644	
55.0	0.0	11.9663	
